Name,Age,Salary,Department,Join Date
Person 167,45.0,43035.0,HR,2028-11-30
Person 189,47.0,60610.0,Marketing,2030-09-30
Person 266,,,Sales,2037-02-28
Person 398,,,Engineering,2048-02-29
Person 207,56.0,99714.0,Marketing,2032-03-31
Person 116,28.0,57479.0,Sales,2024-08-31
Person 470,,,Sales,2054-02-28
Person 20,58.0,96793.0,Engineering,2016-08-31
Person 407,21.0,54324.0,Sales,2048-11-30
Person 436,53.0,60438.0,Engineering,2051-04-30
Person 370,37.0,57481.0,Engineering,2045-10-31
Person 121,54.0,109397.0,Sales,2025-01-31
Person 173,52.0,52574.0,Marketing,2029-05-31
Person 266,,,Sales,2037-02-28
Person 291,,,Marketing,2039-03-31
Person 176,59.0,48031.0,HR,2029-08-31
Person 217,,,Sales,2033-01-31
Person 223,20.0,91846.0,Engineering,2033-07-31
Person 323,39.0,113192.0,Marketing,2041-11-30
Person 345,58.0,114158.0,HR,2043-09-30
Person 338,,,Engineering,2043-02-28
Person 341,57.0,95099.0,HR,2043-05-31
Person 181,,,HR,2030-01-31
Person 54,56.0,57387.0,Engineering,2019-06-30
Person 172,35.0,43870.0,Marketing,2029-04-30
Person 432,48.0,90074.0,Marketing,2050-12-31
Person 212,52.0,37486.0,Sales,2032-08-31
Person 77,33.0,50452.0,Engineering,2021-05-31
Person 162,41.0,107489.0,HR,2028-06-30
Person 475,50.0,51274.0,HR,2054-07-31
Person 121,54.0,109397.0,Sales,2025-01-31
Person 30,23.0,77200.0,Sales,2017-06-30
Person 467,23.0,103882.0,HR,2053-11-30
Person 389,59.0,61689.0,Engineering,2047-05-31
Person 251,55.0,104651.0,HR,2035-11-30
Person 289,31.0,37401.0,Marketing,2039-01-31
Person 169,,,HR,2029-01-31
Person 364,55.0,40449.0,Engineering,2045-04-30
Person 434,29.0,106741.0,Engineering,2051-02-28
Person 120,,,Marketing,2024-12-31
Person 389,59.0,61689.0,Engineering,2047-05-31
Person 60,43.0,51253.0,HR,2019-12-31
Person 392,47.0,55312.0,Marketing,2047-08-31
Person 205,33.0,92099.0,Marketing,2032-01-31
Person 264,22.0,56866.0,Sales,2036-12-31
Person 352,39.0,87513.0,Sales,2044-04-30
Person 325,20.0,66951.0,HR,2042-01-31
Person 41,50.0,89705.0,Engineering,2018-05-31
Person 288,51.0,50037.0,Engineering,2038-12-31
Person 340,47.0,53547.0,HR,2043-04-30
